Indicadores municipales de sostenibilidad: Personas extranjeras beneficiarias de Renta de Garantía de Ingresos (% personas extranjeras);;;;;;;;;;;
"";;;;;;;;;;;
Resumen de datos;;;;;;;;;;;
Entidad;;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014
48072;Otxandio;15,62;9,63;9,29;10,20;8,15;9,09;15,96;13,40;13,48;15,94
01043;Oyón-Oion;7,29;7,29;7,61;8,25;7,35;9,17;9,95;9,50;9,01;8,37
20059;Oñati;7,11;4,99;5,46;5,00;3,14;4,78;5,83;7,52;6,30;5,65
20064;Pasaia;6,86;7,49;8,86;8,54;7,09;9,07;10,15;10,02;9,83;9,30
01044;Peñacerrada-Urizaharra;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
48077;Plentzia;3,65;3,95;5,39;3,66;5,18;7,80;9,29;8,17;9,72;11,99
48078;Portugalete;9,86;8,35;9,04;9,73;9,34;10,58;13,12;14,23;14,34;16,09
01047;Ribera Baja/Erribera Beitia;3,41;2,89;3,33;4,10;2,43;1,97;5,24;5,13;6,29;6,21
01051;Salvatierra/Agurain;9,92;8,43;9,65;9,17;5,60;5,90;6,84;7,56;11,67;13,39
01052;Samaniego;6,25;2,13;4,17;0,00;0,00;0,00;0,00;0,00;0,00;0,00
01053;San Millán/Donemiliaga;4,00;4,35;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,76
48082;Santurtzi;13,52;12,52;14,13;14,92;15,04;18,17;20,94;20,21;20,04;20,79
20070;Segura;3,39;2,73;3,03;2,73;4,48;6,06;5,60;6,40;6,82;7,20
48084;Sestao;10,40;10,44;11,40;11,97;12,32;15,70;19,85;22,65;24,57;24,53
48904;Sondika;5,56;3,41;5,91;3,57;3,02;6,02;5,65;5,80;8,50;5,64
48085;Sopela;6,74;5,79;6,07;6,83;5,84;6,37;7,79;7,23;9,84;10,41
48086;Sopuerta;3,49;2,50;2,14;2,84;2,76;3,42;4,00;5,77;5,45;6,25
20065;Soraluze-Placencia de las Armas;13,53;10,42;13,26;15,40;13,29;16,67;13,87;16,13;16,31;15,17
48076;Sukarrieta;5,26;0,00;0,00;11,11;16,67;12,50;6,67;4,55;5,26;0,00
20071;Tolosa;7,07;5,59;6,28;7,36;7,12;7,06;8,63;9,77;10,75;10,11
48087;Trucios-Turtzioz;3,85;4,35;10,53;10,53;11,76;9,09;0,00;0,00;0,00;0,00
48088;Ubide;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,88;0,00
48065;Ugao-Miraballes;9,27;9,01;10,86;9,52;10,24;11,56;11,23;9,46;12,31;13,54
48089;Urduliz;2,23;1,98;5,12;3,62;3,79;3,21;4,86;7,14;7,97;10,77
48074;Urduña/Orduña;10,67;8,78;10,70;9,36;6,98;7,04;10,22;14,03;15,71;17,17
01054;Urkabustaiz;14,37;15,83;17,39;14,06;12,50;12,20;11,43;12,30;7,94;8,16
20072;Urnieta;8,86;6,82;8,66;7,46;5,72;4,63;7,17;7,77;6,16;7,92
20077;Urretxu;7,56;7,84;7,76;7,84;7,66;6,25;8,29;8,31;7,14;9,16
20073;Usurbil;6,99;5,84;3,90;5,85;5,40;4,73;5,98;6,45;8,28;7,19
01055;Valdegovía/Gaubea;7,69;6,10;9,09;6,25;6,67;2,67;3,95;2,33;1,32;2,53
48080;Valle de Trápaga-Trapagaran;5,19;4,91;6,01;6,46;5,80;8,87;13,33;14,83;14,83;15,41
20075;Villabona;10,12;10,23;11,93;13,18;11,55;11,76;11,53;12,50;13,22;12,24
01057;Villabuena de Álava/Eskuernaga;2,70;2,70;9,38;6,67;8,70;0,00;0,00;6,06;0,00;3,12
